INDICATOR_code,Indicator,LOCATION,Country,Time,Value,Flag Codes,Flags
20600,GERD - Total (in '000 local currency),DNK,Denmark,2011,54383400,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2012,56494700,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2013,57320700,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2014,57732000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2015,59950000,,
20600,GERD - Total (in '000 local currency),DNK,Denmark,2016,59319000,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2011,7163692,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2012,6831888,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2013,6684100,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2014,6512100,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2015,6070900,,
20600,GERD - Total (in '000 local currency),FIN,Finland,2016,5926100,,
20600,GERD - Total (in '000 local currency),FRA,France,2011,45111514,,
20600,GERD - Total (in '000 local currency),FRA,France,2012,46519040,,
20600,GERD - Total (in '000 local currency),FRA,France,2013,47362050,,
20600,GERD - Total (in '000 local currency),FRA,France,2014,48926860,,
20600,GERD - Total (in '000 local currency),FRA,France,2015,49839130,,
20600,GERD - Total (in '000 local currency),FRA,France,2016,50099330,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2011,75569072,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2012,79110378,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2013,79729508,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2014,84246766,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2015,88781819,,
20600,GERD - Total (in '000 local currency),DEU,Germany,2016,92419180,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2011,1391156,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2012,1337600,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2013,1465670,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2014,1488740,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2015,1703820,,
20600,GERD - Total (in '000 local currency),GRC,Greece,2016,1754180,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2011,336537300,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2012,363683400,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2013,420100300,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2014,441092100,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2015,468389700,,
20600,GERD - Total (in '000 local currency),HUN,Hungary,2016,427191800,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2011,42424900,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2013,33342300,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2014,40395266,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2015,48507000,,
20600,GERD - Total (in '000 local currency),ISL,Iceland,2016,50909000,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2011,2665900,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2012,2758082,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2013,2849186,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2014,2969282,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2015,3133000,,
20600,GERD - Total (in '000 local currency),IRL,Ireland,2016,3242900,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2011,19810600,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2012,20502500,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2013,20983100,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2014,21781275,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2015,22157000,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2016,21611266,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2011,15945058000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2012,15883592000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2013,16680069000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2014,17472907000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2015,17436052000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2016,16911538000,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2011,49890418950,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2012,55450115649,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2013,59300949330,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2014,63734126793,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2015,65959371727,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2016,69405529886,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2011,631400,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2012,561403,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2013,605731,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2014,629800,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2015,662300,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2016,659200,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2011,75005873,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2012,77007401,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2013,81150122,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2014,92675321,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2015,97166208,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2016,97785298,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2011,12235300,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2012,12512616,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2013,12746047,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2014,13267860,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2015,13695788,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2016,14281000,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2011,2625000,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2013,2685000,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2015,3216000,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2011,45440400,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2012,48043500,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2013,50748200,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2014,53866900,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2015,60209200,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2016,63345000,,
20600,GERD - Total (in '000 local currency),POL,Poland,2011,11686700,,
20600,GERD - Total (in '000 local currency),POL,Poland,2012,14352900,,
20600,GERD - Total (in '000 local currency),POL,Poland,2013,14423800,,
20600,GERD - Total (in '000 local currency),POL,Poland,2014,16168200,,
20600,GERD - Total (in '000 local currency),POL,Poland,2015,18060700,,
20600,GERD - Total (in '000 local currency),POL,Poland,2016,17943000,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2011,2566450,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2012,2320133,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2013,2258471,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2014,2232249,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2015,2234370,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2016,2347700,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2011,468439,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2012,585225,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2013,610876,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2014,669632,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2015,927272,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2016,640835,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2011,14184295,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2012,13391607,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2013,13011798,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2014,12820756,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2015,13172000,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2016,13260000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2011,118809000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2012,120911000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2013,124635000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2014,123848000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2015,137146000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2016,143372000,,
20600,GERD - Total (in '000 local currency),CHE,Switzerland,2012,19965714,,
20600,GERD - Total (in '000 local currency),CHE,Switzerland,2015,22058970,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2011,11154150,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2012,13062263,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2013,14807322,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2014,17598117,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2015,20615248,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2011,27379700,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2012,27006000,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2013,28875100,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2014,30599600,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2015,31626000,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2016,33150000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2011,429792000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2012,434348000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2013,454821000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2014,476460000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2015,496585000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2016,511089000,,
20600,GERD - Total (in '000 local currency),DZA,Algeria,2017,100860040.7,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2011,12332557.6,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2012,16748474,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2013,20708922,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2014,27143967,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2015,36565435,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2016,43625045.1,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2011,10205900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2012,10176900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2013,10120900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2014,11661700,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2015,12609900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2016,11809100,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2017,12680500,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2011,109809.8,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2012,117300,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2013,122000,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2014,123800,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2015,120900,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2016,124700,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2017,129900,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2011,208188.4,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2012,353775.7,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2013,437230.5,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2014,407311.9,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2015,449543.1,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2016,475344,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2017,617684,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2012,69577.126,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2013,86046.335,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2014,70381.152,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2015,62494.336,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2016,64576.461,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2017,62904.269,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2011,49875862.3,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2012,54254596.3,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2013,63748603,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2014,73387581.8,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2015,80501765.2,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2016,79228267.4,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2011,429566,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2012,496176,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2013,521682,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2014,664829,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2015,850457,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2016,734274,,
20600,GERD - Total (in '000 local currency),BFA,Burkina Faso,2014,13575300,,
20600,GERD - Total (in '000 local currency),KHM,Cambodia,2015,86811092,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2011,428780714,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2012,470675384,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2013,535924384,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2014,557298984,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2015,607462845,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2016,613475775,,
20600,GERD - Total (in '000 local currency),CHN,China,2011,868700930,,
20600,GERD - Total (in '000 local currency),CHN,China,2012,1029840900,,
20600,GERD - Total (in '000 local currency),CHN,China,2013,1184659795,,
20600,GERD - Total (in '000 local currency),CHN,China,2014,1301562968,,
20600,GERD - Total (in '000 local currency),CHN,China,2015,1416988461,,
20600,GERD - Total (in '000 local currency),CHN,China,2016,1567674841,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2011,1274879000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2012,1558168000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2013,1935942000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2014,2331665000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2015,2331606000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2016,2305813000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2017,2226291000,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2011,99976890,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2012,129958110,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2013,138144720,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2014,155763000,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2015,142357153,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2016,142104284.7,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2011,2502276,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2012,2482157,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2013,2688004,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2014,2594604,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2015,2853679,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2016,2955332,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2011,187600,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2012,297800,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2013,366200,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2014,335500,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2015,373400,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2016,312700,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2017,417100,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2011,89883,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2012,85322,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2013,87469,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2014,89521,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2015,85286,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2016,91400,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2011,269466.662,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2012,292227.051,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2013,361398.236,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2014,450306.465,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2011,7288000,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2012,8524000,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2013,11887000,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2014,13557258.27,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2015,17561440,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2016,19195479.79,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2017,21026380,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2011,7200,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2012,7265,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2013,14046.37,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2014,21186.87,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2015,33630,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2016,35060,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2011,384447,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2012,380695,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2013,326045,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2014,286736,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2015,302766,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2016,270330,,
20600,GERD - Total (in '000 local currency),ETH,Ethiopia,2013,5242607.978,,
20600,GERD - Total (in '000 local currency),GMB,Gambia,2011,35220.762,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2013,22464,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2014,53900,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2015,101560,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2016,102440,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2011,178600,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2012,176500,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2013,163071,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2014,131919,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2015,145850,,
20600,GERD - Total (in '000 local currency),HND,Honduras,2015,68910,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2011,13944600,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2012,14816200,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2013,15613300,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2014,16727300,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2015,18270700,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2016,19713100,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2017,21280400,,
20600,GERD - Total (in '000 local currency),IND,India,2011,726204400,+,National Estimation
20600,GERD - Total (in '000 local currency),IND,India,2015,853261000,,
20600,GERD - Total (in '000 local currency),IDN,Indonesia,2013,8085259000,+,National Estimation
20600,GERD - Total (in '000 local currency),IRN,Iran (Islamic Republic of),2012,23240759243,,
20600,GERD - Total (in '000 local currency),IRN,Iran (Islamic Republic of),2013,25099963000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2011,37566100,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2012,41283600,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2013,43848900,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2014,46342600,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2015,49627700,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2016,51878850,,
20600,GERD - Total (in '000 local currency),JOR,Jordan,2016,91119.781,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2011,43351600,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2012,51253100,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2013,61672657.9,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2014,66347600,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2015,69302900,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2016,66600100,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2011,42079.472,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2012,47360.924,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2013,148933.329,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2014,197658.731,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2015,33302.5663,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2016,26396.17869,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2017,29436.56368,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2011,447100,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2012,515696.4,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2013,529881.5,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2014,502322.4,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2015,512429.2,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2016,529715.4,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2017,568000,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2011,141434,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2012,145374,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2013,139500,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2014,162800,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2015,152300,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2016,110400,,
20600,GERD - Total (in '000 local currency),LSO,Lesotho,2011,2351,,
20600,GERD - Total (in '000 local currency),LSO,Lesotho,2015,15358.323,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2011,282698,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2012,298367,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2013,332426,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2014,376827,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2015,389670,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2016,327612,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2011,1034000,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2012,1525000,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2013,2203000,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2014,2725000,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2015,2482400,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2016,2592400,,
20600,GERD - Total (in '000 local currency),MKD,The former Yugoslav Republic of Macedonia,2017,2190500,,
20600,GERD - Total (in '000 local currency),MDG,Madagascar,2011,21211609,,
20600,GERD - Total (in '000 local currency),MDG,Madagascar,2014,3995400,,
20600,GERD - Total (in '000 local currency),MDG,Madagascar,2016,4757600,,
20600,GERD - Total (in '000 local currency),MDG,Madagascar,2017,5233360,,
20600,GERD - Total (in '000 local currency),MYS,Malaysia,2011,9422000,,
20600,GERD - Total (in '000 local currency),MYS,Malaysia,2012,10612800,,
20600,GERD - Total (in '000 local currency),MYS,Malaysia,2014,13971560,,
20600,GERD - Total (in '000 local currency),MYS,Malaysia,2015,15058344.98,,
20600,GERD - Total (in '000 local currency),MLI,Mali,2015,24375866.2,,
20600,GERD - Total (in '000 local currency),MLI,Mali,2017,26051013.94,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2011,46053,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2012,59234,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2013,59055,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2014,60539,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2015,71491,,
20600,GERD - Total (in '000 local currency),MLT,Malta,2016,60871,,
20600,GERD - Total (in '000 local currency),MUS,Mauritius,2012,623200,,
20600,GERD - Total (in '000 local currency),MDA,Republic of Moldova,2011,333500,,
